Track,Artist,Album,Year,Duration,Time_Signature,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Popularity
Twice My Age (feat. Krystal),Shabba Ranks,Rappin' With The Ladies,1994,347160,4,0.828,0.419,0,-18.299,1,0.136,0.0077,0.00000224,0.0895,0.927,92.322,47
Wicked Inna Bed,Shabba Ranks,The Best of Shashamane Reggae Dubplates (Shabba Ranks Anthems),1994,64087,4,0.794,0.574,2,-10.038,1,0.535,0.493,0,0.186,0.84,92.39,4
(Dry Cry) Just One of Those Days,Sizzla,STRICTLY THE BEST VOL. 31,2005,208600,4,0.703,0.574,0,-5.71,1,0.171,0.0586,0,0.0519,0.579,147.829,36
Be Strong,Sizzla,The Journey - The Very Best Of Sizzla Kalonji,2005,218560,4,0.72,0.736,4,-6.38,0,0.316,0.564,0,0.122,0.607,83.924,40
Give Me A Try,Sizzla,The Journey - The Very Best Of Sizzla Kalonji,2005,220226,4,0.898,0.421,8,-7.799,1,0.171,0.289,0.000631,0.083,0.76,139.948,49
Just One Of Those Days,Sizzla,Da Real Thing,2005,233266,4,0.708,0.604,0,-5.78,1,0.157,0.0379,0,0.0487,0.523,148.008,49
Praise Ye Jah,Sizzla,Praise Ye Jah,2005,230466,4,0.827,0.718,7,-8.036,0,0.0493,0.105,0,0.0581,0.723,131.498,38
Take Myself Away,Sizzla,Overstanding,2005,251813,4,0.707,0.687,7,-7.437,1,0.519,0.123,0,0.0373,0.795,81.721,36
Thank U Mamma,Sizzla,Da Real Thing,2005,240826,4,0.532,0.642,7,-7.219,1,0.135,0.028,0,0.162,0.724,140.063,37
Thank You Mama,Sizzla,Overstanding,2005,272066,4,0.555,0.484,7,-8.322,1,0.29,0.134,0.00000122,0.134,0.424,140.737,28
Bad Boys,Sly & Robbie,Sly & Robbie Present Sound of Sound,1981,208039,4,0.8,0.372,11,-12.533,0,0.173,0.0265,0,0.0546,0.587,173.374,0
Boops (Here To Go),Sly & Robbie,Reggae You Fell In Love With,1981,218360,4,0.853,0.658,4,-9.777,0,0.0767,0.39,0.0000287,0.104,0.626,103.081,7
Livin' It up Dub,Sly & Robbie,Horace Andy Dubbin' It Up,1981,300786,4,0.833,0.414,7,-9.298,1,0.171,0.00113,0.776,0.16,0.498,74.55,5
Money (feat. Red Rose),Sly & Robbie,Hail Up The Taxi,1981,239493,4,0.626,0.429,8,-7.208,1,0.242,0.402,0,0.0776,0.663,172.011,0
Unmetered Taxi,Sly & Robbie,Crucial Reggae,1981,158400,4,0.659,0.274,9,-13.299,1,0.224,0.00135,0.709,0.0862,0.529,79.326,14
Bad News,SOJA,Poetry In Motion,2008,229464,4,0.67,0.757,4,-4.707,0,0.0783,0.0763,0,0.117,0.566,148.048,28
Everything Changes - feat. Dread Mar I,SOJA,Everything Changes,2012,304126,4,0.699,0.681,8,-5.659,0,0.0581,0.0573,0,0.121,0.893,153.957,48
Rest of My Life,SOJA,Born In Babylon,2010,319240,4,0.796,0.588,7,-7.986,0,0.041,0.0128,0,0.0991,0.669,125.29,38
Something To Believe In,SOJA,Beauty In The Silence,2009,209032,4,0.811,0.638,0,-5.339,1,0.0376,0.388,0,0.102,0.749,139.934,54
True Love,SOJA,Peace in a Time of War,2008,256733,4,0.861,0.405,6,-8.84,0,0.0532,0.203,0,0.103,0.54,116.831,66
When We Were Younger,SOJA,Strength To Survive,2004,267266,4,0.713,0.658,5,-6.586,1,0.0279,0.306,0,0.201,0.695,98.032,46
Ravers,Steel Pulse,True Democracy,1980,236773,4,0.683,0.682,0,-8.165,1,0.147,0.212,0,0.0831,0.96,78.526,31
